x,income,type,age
9993,95000,alienAge,27
11781,95000,alienAge,32
12378,95000,alienAge,25
12915,95000,alienAge,22
13121,95000,alienAge,34
13351,95000,alienAge,25
13936,95000,alienAge,38
3805,94979,sponsorAge,40
11876,94979,alienAge,31
4619,94830,sponsorAge,51
12690,94830,alienAge,44
7277,94700,sponsorAge,29
15348,94700,alienAge,23
5014,94000,sponsorAge,43
13085,94000,alienAge,45
4234,93940,sponsorAge,28
12305,93940,alienAge,33
5655,93867,sponsorAge,38
13726,93867,alienAge,22
5935,93814,sponsorAge,41
14006,93814,alienAge,32
3026,93811.59,sponsorAge,40
11097,93811.59,alienAge,28
5332,93600,sponsorAge,43
5984,93600,sponsorAge,40
13403,93600,alienAge,49
14055,93600,alienAge,30
6520,93360,sponsorAge,62
14591,93360,alienAge,52
6319,93200,sponsorAge,47
14390,93200,alienAge,41
4001,93171.24,sponsorAge,44
12072,93171.24,alienAge,41
5517,93160,sponsorAge,69
13588,93160,alienAge,52
1713,93000,sponsorAge,54
3030,93000,sponsorAge,72
6704,93000,sponsorAge,51
9784,93000,alienAge,27
11101,93000,alienAge,63
14775,93000,alienAge,29
460,92963,sponsorAge,48
8531,92963,alienAge,46
5617,92185,sponsorAge,37
13688,92185,alienAge,37
4228,92160,sponsorAge,48
12299,92160,alienAge,40
4758,92052,sponsorAge,51
12829,92052,alienAge,37
4067,92040,sponsorAge,31
12138,92040,alienAge,27
1918,92000,sponsorAge,49
3925,92000,sponsorAge,64
4201,92000,sponsorAge,54
6098,92000,sponsorAge,47
9989,92000,alienAge,41
11996,92000,alienAge,32
12272,92000,alienAge,41
14169,92000,alienAge,26
6446,91938.24,sponsorAge,36
14517,91938.24,alienAge,34
6094,91700,sponsorAge,47
14165,91700,alienAge,31
3328,91589,sponsorAge,54
11399,91589,alienAge,42
3521,91552.24,sponsorAge,56
11592,91552.24,alienAge,46
169,91520,sponsorAge,28
8240,91520,alienAge,25
2559,91274,sponsorAge,58
10630,91274,alienAge,45
2173,91200,sponsorAge,41
10244,91200,alienAge,36
1481,91115.7,sponsorAge,50
9552,91115.7,alienAge,44
3755,91100,sponsorAge,31
11826,91100,alienAge,33
3762,91000,sponsorAge,35
11833,91000,alienAge,29
4356,90609,sponsorAge,48
12427,90609,alienAge,36
3053,90309.13,sponsorAge,53
11124,90309.13,alienAge,29
3697,90212,sponsorAge,45
11768,90212,alienAge,27
3845,90196,sponsorAge,49
11916,90196,alienAge,45
5543,90048,sponsorAge,71
13614,90048,alienAge,50
67,90000,sponsorAge,48
116,90000,sponsorAge,42
196,90000,sponsorAge,47
197,90000,sponsorAge,47
198,90000,sponsorAge,47
395,90000,sponsorAge,64
646,90000,sponsorAge,45
765,90000,sponsorAge,38
1578,90000,sponsorAge,50
1690,90000,sponsorAge,54
1734,90000,sponsorAge,37
1820,90000,sponsorAge,31
1874,90000,sponsorAge,32
2112,90000,sponsorAge,42
2291,90000,sponsorAge,38
2414,90000,sponsorAge,45
2508,90000,sponsorAge,36
2608,90000,sponsorAge,50
2981,90000,sponsorAge,44
3140,90000,sponsorAge,35
3846,90000,sponsorAge,40
3897,90000,sponsorAge,37
4209,90000,sponsorAge,52
4225,90000,sponsorAge,33
4725,90000,sponsorAge,36
4738,90000,sponsorAge,28
4881,90000,sponsorAge,35
4965,90000,sponsorAge,34
5031,90000,sponsorAge,40
5493,90000,sponsorAge,28
5649,90000,sponsorAge,35
5763,90000,sponsorAge,28
5812,90000,sponsorAge,36
5847,90000,sponsorAge,52
6089,90000,sponsorAge,26
6780,90000,sponsorAge,33
8138,90000,alienAge,39
8187,90000,alienAge,32
8267,90000,alienAge,36
8268,90000,alienAge,36
8269,90000,alienAge,36
8466,90000,alienAge,47
8717,90000,alienAge,22
8836,90000,alienAge,30
9649,90000,alienAge,38
9761,90000,alienAge,27
9805,90000,alienAge,31
9891,90000,alienAge,30
9945,90000,alienAge,28
10183,90000,alienAge,32
10362,90000,alienAge,25
10485,90000,alienAge,37
10579,90000,alienAge,27
10679,90000,alienAge,36
11052,90000,alienAge,25
11211,90000,alienAge,29
11917,90000,alienAge,21
11968,90000,alienAge,25
12280,90000,alienAge,27
12296,90000,alienAge,37
12796,90000,alienAge,33
12809,90000,alienAge,28
12952,90000,alienAge,35
13036,90000,alienAge,26
13102,90000,alienAge,30
13564,90000,alienAge,23
